127.0.0.1, 2014-06-18 23:41:16, GET, /py2manager/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2014-06-18 23:41:44, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-06-18 23:41:54, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.059000
127.0.0.1, 2014-06-18 23:42:27, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.184000
127.0.0.1, 2014-06-18 23:42:32, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2014-06-18 23:42:49, GET, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.075000
127.0.0.1, 2014-06-18 23:44:24, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.072000
127.0.0.1, 2014-06-18 23:44:47, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.187000
127.0.0.1, 2014-06-18 23:46:35, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-06-18 23:46:55, POST, /py2manager/default/user/login, HTTP/1.1, 303, 0.299000
127.0.0.1, 2014-06-18 23:46:55, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-06-19 09:47:59, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-06-19 09:48:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.450000
127.0.0.1, 2014-06-19 09:48:08, GET, /admin/default/index, HTTP/1.1, 200, 0.221000
127.0.0.1, 2014-06-19 09:48:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:12, POST, /admin/default/index, HTTP/1.1, 303, 0.099000
127.0.0.1, 2014-06-19 09:48:12, GET, /admin/default/site, HTTP/1.1, 200, 0.079000
127.0.0.1, 2014-06-19 09:48:12, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-06-19 09:48:12, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.023000
127.0.0.1, 2014-06-19 09:48:12, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.021000
127.0.0.1, 2014-06-19 09:48:12, POST, /admin/default/check_version, HTTP/1.1, 200, 0.210000
127.0.0.1, 2014-06-19 09:48:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:28, GET, /default/user/login, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-06-19 09:48:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:50, GET, /user/login, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-06-19 09:48:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:48:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:49:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:49:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:49:07, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2014-06-19 09:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:49:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:49:19, GET, /py2manager/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-06-19 09:49:42, GET, /py2manager/user/login, HTTP/1.1, 404, 0.024000
127.0.0.1, 2014-06-19 09:49:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:49:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:49:55, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.193000
127.0.0.1, 2014-06-19 09:50:02, GET, /py2manager/user/login, HTTP/1.1, 404, 0.026000
127.0.0.1, 2014-06-19 09:50:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:50:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:50:04, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.064000
127.0.0.1, 2014-06-19 09:50:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:50:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:50:06, GET, /py2manager/default/index, HTTP/1.1, 200, 0.034000
